#YY,MM,DD,hh,mm,WDIR,WSPD,GDR,GST,GTIME
2012,1,3,7,40,183,8.7,999,99,9999
2012,1,3,7,50,183,8.8,194,11,718
2012,1,3,8,0,178,8.9,999,99,9999
2012,1,3,8,10,176,8.7,999,99,9999
2012,1,3,8,20,171,8.8,999,99,9999
2012,1,3,8,30,170,8.5,999,99,9999
2012,1,3,8,40,171,7.9,999,99,9999
2012,1,3,8,50,172,8.3,196,10.6,750
2012,1,3,9,0,172,8.1,999,99,9999
2012,1,3,9,10,169,8,999,99,9999
2012,1,3,9,20,168,8,999,99,9999
2012,1,3,9,30,167,8.2,999,99,9999
2012,1,3,9,40,168,8.4,999,99,9999
2012,1,3,9,50,168,8.3,163,10.4,937
2012,1,3,10,0,173,9,999,99,9999
2012,1,3,10,10,175,8.7,999,99,9999
2012,1,3,10,20,174,9.1,999,99,9999
2012,1,3,10,30,174,9,999,99,9999
2012,1,3,10,40,172,8.9,999,99,9999
2012,1,3,10,50,168,8.7,176,10.9,1010
2012,1,3,11,0,169,8.7,999,99,9999
2012,1,3,11,10,171,8.9,999,99,9999
2012,1,3,11,20,169,8.6,999,99,9999
2012,1,3,11,30,171,9.1,999,99,9999
2012,1,3,11,40,175,9,999,99,9999
2012,1,3,11,50,173,8.5,168,11,1102
2012,1,3,12,0,173,8.3,999,99,9999
2012,1,3,12,10,174,8.3,999,99,9999
2012,1,3,12,20,172,8.5,999,99,9999
2012,1,3,12,30,173,8.4,999,99,9999
2012,1,3,12,40,173,8.5,999,99,9999
2012,1,3,12,50,174,8.6,169,10.3,1247
2012,1,3,13,0,174,9,999,99,9999
2012,1,3,13,10,175,8.7,999,99,9999
2012,1,3,13,20,176,8.8,999,99,9999
2012,1,3,13,30,177,8.7,999,99,9999
2012,1,3,13,40,175,8.9,999,99,9999
2012,1,3,13,50,177,8.6,173,10.8,1253
2012,1,3,14,0,175,8.5,999,99,9999
2012,1,3,14,10,173,8.9,999,99,9999
2012,1,3,14,20,172,9,999,99,9999
2012,1,3,14,30,174,9.3,999,99,9999
2012,1,3,14,40,173,8.9,999,99,9999
2012,1,3,14,50,173,9.5,173,11.4,1444
2012,1,3,15,0,173,8.7,999,99,9999
2012,1,3,15,10,173,9.3,999,99,9999
2012,1,3,15,20,172,9.2,999,99,9999
2012,1,3,15,30,174,9.1,999,99,9999
2012,1,3,15,40,173,9.2,999,99,9999
2012,1,3,15,50,174,8.8,176,11.7,1532
2012,1,3,16,0,174,9,999,99,9999
2012,1,3,16,10,174,9.2,999,99,9999
2012,1,3,16,20,175,9.5,999,99,9999
2012,1,3,16,30,173,9.9,999,99,9999
2012,1,3,16,40,171,10.1,999,99,9999
2012,1,3,16,50,174,10.2,168,12.7,1642
2012,1,3,17,0,174,10.5,999,99,9999
2012,1,3,17,10,175,10.2,999,99,9999
2012,1,3,17,20,174,9.8,999,99,9999
2012,1,3,17,30,173,10.1,999,99,9999
2012,1,3,17,40,173,10.1,999,99,9999
2012,1,3,17,50,176,10.5,173,12.8,1747
2012,1,3,18,0,176,10,999,99,9999
2012,1,3,18,10,176,10.6,999,99,9999
2012,1,3,18,20,176,10.2,999,99,9999
2012,1,3,18,30,177,10.1,999,99,9999
2012,1,3,18,40,175,10.4,999,99,9999
2012,1,3,18,50,176,10.7,178,13.6,1801
2012,1,3,19,0,176,10.6,999,99,9999
2012,1,3,19,10,176,10.6,999,99,9999
2012,1,3,19,20,177,10.3,999,99,9999
2012,1,3,19,30,178,10.3,999,99,9999
2012,1,3,19,40,178,10.2,999,99,9999
2012,1,3,19,50,178,10,175,13.1,1906
2012,1,3,20,0,176,10.6,999,99,9999
2012,1,3,20,10,176,10,999,99,9999
2012,1,3,20,20,176,10.2,999,99,9999
2012,1,3,20,30,176,10.2,999,99,9999
2012,1,3,20,40,177,10.1,999,99,9999
2012,1,3,20,50,180,9.7,171,13.5,1954
2012,1,3,21,0,180,9.6,999,99,9999
2012,1,3,21,10,180,9.9,999,99,9999
2012,1,3,21,20,180,9.6,999,99,9999
2012,1,3,21,30,181,9.5,999,99,9999
2012,1,3,21,40,180,9.7,999,99,9999
2012,1,3,21,50,180,9.6,172,11.9,2112
2012,1,3,22,0,180,9.1,999,99,9999
2012,1,3,22,10,180,9.3,999,99,9999
2012,1,3,22,20,183,9,999,99,9999
2012,1,3,22,30,184,9.4,999,99,9999
2012,1,3,22,40,184,9.2,999,99,9999
2012,1,3,22,50,183,9.5,179,11.9,2154
2012,1,3,23,0,184,9.4,999,99,9999
2012,1,3,23,10,183,9.2,999,99,9999
2012,1,3,23,20,181,9.4,999,99,9999
2012,1,3,23,30,183,9.5,999,99,9999
2012,1,3,23,40,181,9.3,999,99,9999
2012,1,3,23,50,179,9.6,176,11.9,2338
2012,1,4,0,0,180,9.3,999,99,9999
2012,1,4,0,10,179,9.5,999,99,9999
2012,1,4,0,20,179,9.6,999,99,9999
2012,1,4,0,30,178,9.6,999,99,9999
2012,1,4,0,40,180,9.6,999,99,9999
2012,1,4,0,50,182,9.7,189,12.1,46
2012,1,4,1,0,182,9.7,999,99,9999
2012,1,4,1,10,183,8.8,999,99,9999
2012,1,4,1,20,185,9.5,999,99,9999
2012,1,4,1,30,184,9.6,999,99,9999
2012,1,4,1,40,181,10,999,99,9999
2012,1,4,1,50,181,9.7,180,12.6,50
2012,1,4,2,0,184,10.3,999,99,9999
2012,1,4,2,10,187,11.1,999,99,9999
2012,1,4,2,20,187,10.1,999,99,9999
2012,1,4,2,30,182,10.2,999,99,9999
2012,1,4,2,40,182,10.2,999,99,9999
2012,1,4,2,50,182,10.7,181,13.7,243
2012,1,4,3,0,181,10.7,999,99,9999
2012,1,4,3,10,179,10.3,999,99,9999
2012,1,4,3,20,180,9.7,999,99,9999
2012,1,4,3,30,177,9.8,999,99,9999
2012,1,4,3,40,176,9.8,999,99,9999
2012,1,4,3,50,177,10.2,183,13.2,254
2012,1,4,4,0,177,10.3,999,99,9999
2012,1,4,4,10,180,10.8,999,99,9999
2012,1,4,4,20,184,10.8,999,99,9999
2012,1,4,4,30,183,11.8,999,99,9999
2012,1,4,4,40,184,11.5,999,99,9999
2012,1,4,4,50,185,11.9,185,16.2,427
2012,1,4,5,0,185,11.9,999,99,9999
2012,1,4,5,10,184,11.7,999,99,9999
2012,1,4,5,20,182,12,999,99,9999
2012,1,4,5,30,182,11.9,999,99,9999
2012,1,4,5,40,181,11.8,999,99,9999
2012,1,4,5,50,186,11.8,178,15.8,549
2012,1,4,6,0,187,12.5,999,99,9999
2012,1,4,6,10,185,11.6,999,99,9999
2012,1,4,6,20,183,11.6,999,99,9999
2012,1,4,6,30,187,12.2,999,99,9999
2012,1,4,6,40,190,12.9,999,99,9999
2012,1,4,6,50,189,13.1,193,17.6,639
2012,1,4,7,0,190,12.9,999,99,9999
2012,1,4,7,10,194,13,999,99,9999
2012,1,4,7,20,197,12.7,999,99,9999
2012,1,4,7,30,196,12.5,999,99,9999
2012,1,4,7,40,195,12.1,999,99,9999
2012,1,4,7,50,193,12.3,196,16.4,706
2012,1,4,8,0,198,12.1,999,99,9999
2012,1,4,8,10,197,11.8,999,99,9999
2012,1,4,8,20,195,11.5,999,99,9999
2012,1,4,8,30,197,11.3,999,99,9999
2012,1,4,8,40,195,11.9,999,99,9999
2012,1,4,8,50,195,12.4,204,15.5,832
2012,1,4,9,0,198,11.6,999,99,9999
2012,1,4,9,10,198,11.8,999,99,9999
2012,1,4,9,20,194,11,999,99,9999
2012,1,4,9,30,196,11,999,99,9999
2012,1,4,9,40,200,10.4,999,99,9999
2012,1,4,9,50,201,10.1,192,14.6,907
2012,1,4,10,0,194,9.3,999,99,9999
2012,1,4,10,10,191,9.3,999,99,9999
2012,1,4,10,20,188,9.6,999,99,9999
2012,1,4,10,30,188,9.4,999,99,9999
2012,1,4,10,40,187,9.4,999,99,9999
2012,1,4,10,50,186,9.8,195,12.5,955
2012,1,4,11,0,187,9.8,999,99,9999
2012,1,4,11,10,188,10.1,999,99,9999
2012,1,4,11,20,188,10.2,999,99,9999
2012,1,4,11,30,189,10,999,99,9999
2012,1,4,11,40,190,10,999,99,9999
2012,1,4,11,50,191,10,197,13,1139
2012,1,4,12,0,191,9.8,999,99,9999
2012,1,4,12,10,191,9.8,999,99,9999
2012,1,4,12,20,193,10,999,99,9999
2012,1,4,12,30,194,9.9,999,99,9999
2012,1,4,12,40,195,10,999,99,9999
